Vessel Name: KH2404_A2H_C2_C3_GrowthRate
Date Time	Elapsed	1806_C2 (5) 5K / well (B2)	1806_C2 (5) 5K / well (B3)	1806_C2 (5) 5K / well (B4)	1806_C2 (5) 5K / well (B5)	1806_C2 (5) 5K / well (B6)	1806_C2 (5) 5K / well (B7)	1806_C2 (5) 5K / well (B8)	1806_C2 (5) 5K / well (B9)	1806_C2 (5) 5K / well (B10)	1806_C2 (5) 5K / well (B11)	1806_C2 (5) 5K / well (C2)	1806_C2 (5) 5K / well (C3)	1806_C2 (5) 5K / well (C4)	1806_C2 (5) 5K / well (C5)	1806_C2 (5) 5K / well (C6)	1806_C2 (5) 5K / well (C7)	1806_C2 (5) 5K / well (C8)	1806_C2 (5) 5K / well (C9)	1806_C2 (5) 5K / well (C10)	1806_C2 (5) 5K / well (C11)	1806_C2 (5) 5K / well (D2)	1806_C2 (5) 5K / well (D3)	1806_C2 (5) 5K / well (D4)	1806_C2 (5) 5K / well (D5)	1806_C2 (5) 5K / well (D6)	1806_C2 (5) 5K / well (D7)	1806_C2 (5) 5K / well (D8)	1806_C2 (5) 5K / well (D9)	1806_C2 (5) 5K / well (D10)	1806_C2 (5) 5K / well (D11)
9/24/2024 9:17:00 PM	100	67.42184	55.15764	52.9714	68.19876	81.81076	85.09105	85.80218	82.96367	80.89101	67.18437	64.97847	61.07909	71.89115	86.55201	95.22517	91.66898	90.69122	96.04394	74.58248	67.59246	58.57686	78.74706	66.29738	82.46748	53.69454	82.05073	48.8515	67.43966	66.90804	76.68335
9/25/2024 1:17:00 AM	104	70.17244	58.37322	56.35753	73.50658	85.43019	86.96685	90.8671	86.28901	83.06336	70.42095	67.91905	64.26289	72.63275	88.91625	97.30305	94.78284	92.16736	97.41197	78.56429	70.82442	62.05049	82.17461	69.5387	86.14935	57.2095	85.64462	52.4639	70.40177	71.26713	80.75577
9/25/2024 5:17:00 AM	108	73.72637	61.65862	59.31717	74.51044	88.20355	89.68901	92.94501	88.43819	86.63331	74.05618	72.21615	68.75746	74.24707	92.45174	98.53959	97.37077	94.56955	98.29732	81.54138	74.28624	65.15186	85.01086	71.85686	89.35764	59.97643	88.75948	55.63542	73.6613	76.0787	84.39108
9/25/2024 9:17:00 AM	112	77.40384	65.6774	63.14211	78.81006	90.94603	93.04375	93.62894	91.22188	89.73417	77.46049	75.25368	71.36947	75.74432	94.31484	99.31004	98.21361	96.24735	99.02512	84.63658	77.65811	67.9318	88.44567	75.93722	92.50496	63.89223	91.51814	59.28008	76.99058	80.40239	88.16642
9/25/2024 1:17:00 PM	116	80.57994	68.68466	66.31535	83.05633	93.57037	95.36738	96.30135	93.8375	93.06376	80.62573	79.08621	76.15223	75.35775	96.221	99.80688	99.06562	97.35174	99.26165	87.32836	81.04916	71.3787	91.4409	79.0623	94.93308	67.56099	93.81046	63.28958	80.57771	84.75189	91.60768
9/25/2024 5:17:00 PM	120	83.1468	72.65443	70.16772	84.81559	95.24493	97.08926	96.98879	95.43156	94.56685	83.96095	82.91422	79.2609	79.00887	97.69537	99.94495	99.67729	98.67508	99.62656	90.16297	84.22312	74.77481	93.8074	81.72014	96.83758	71.28407	95.74764	66.46654	82.8156	88.32404	94.16389
9/25/2024 9:17:00 PM	124	86.16565	76.44139	73.19171	86.46275	96.58962	98.02546	97.73952	97.07032	96.46779	86.8736	86.60738	82.13084	81.76027	98.69572	99.99197	99.88792	99.13242	99.71999	92.53587	87.19643	77.57809	95.52555	84.40862	98.22331	75.02789	97.2741	70.10268	85.13181	92.11633	96.30038
9/26/2024 1:17:00 AM	128	88.13163	80.29704	77.80786	89.55988	97.54234	98.81155	98.68935	98.05537	97.94905	89.64334	89.90192	85.03721	84.43813	99.27042	100	99.96057	99.60558	99.90675	94.61312	89.94823	80.69759	96.98102	88.61269	99.1122	78.67529	98.55751	73.91183	87.89646	95.02201	97.8413
9/26/2024 5:17:00 AM	132	90.08495	83.00757	82.39796	91.10028	98.25303	99.59465	98.64234	98.75233	98.92189	92.33532	92.68211	87.84668	86.85178	99.69734	100	99.99921	99.87078	99.97411	96.15738	91.87402	83.147	98.04576	89.8339	99.63136	82.60921	99.3829	77.47684	90.51618	97.10968	98.97231
9/26/2024 9:17:00 AM	136	91.81744	86.03581	85.54436	93.373	98.71213	99.82767	99.24107	99.31807	99.46603	94.57694	94.83948	89.81207	90.73686	99.93097	100	100	99.91862	100	97.37319	93.81145	85.7886	98.84056	92.62637	99.84634	85.66438	99.72788	80.73874	92.75297	98.51778	99.61098
9/26/2024 1:17:00 PM	140	93.87268	88.72433	88.32519	94.69984	99.16639	99.95584	99.37405	99.65977	99.66531	96.05835	96.26357	91.62684	93.3502	99.9743	100	100	99.97195	100	98.33806	95.25774	88.36246	99.27872	93.95719	99.94804	88.59534	99.8719	83.72413	94.1778	99.39717	99.9091
9/26/2024 5:17:00 PM	144	95.25459	90.87146	90.87427	96.44287	99.50835	99.99107	99.6638	99.84634	99.88012	97.14477	97.46247	93.30061	92.8441	99.994	100	100	99.99427	100	98.95652	96.40413	90.11592	99.61436	96.33956	99.97057	91.08474	99.97678	86.54194	95.49329	99.79893	99.98505
9/26/2024 9:17:00 PM	148	96.54251	92.42548	93.12339	97.12603	99.75385	100	99.8851	99.97659	99.96387	97.98866	98.48551	94.73864	96.78603	100	100	100	100	100	99.4436	97.50072	92.23113	99.79045	97.17754	99.99274	92.92874	99.99802	89.54555	96.45817	99.96979	100
9/27/2024 1:17:00 AM	152	97.40659	93.94328	94.83503	97.8641	99.91907	100	99.9573	100	99.9936	98.61372	99.15881	96.11411	97.62906	100	100	100	100	100	99.74395	98.31169	93.64583	99.91099	98.06588	100	94.77393	100	91.90525	97.23348	99.99643	100
9/27/2024 5:17:00 AM	156	97.91976	95.18563	96.40609	98.49196	99.99576	100	99.96522	100	100	99.0605	99.60321	96.99054	97.32909	100	100	100	100	100	99.88688	98.9319	94.84508	99.97593	99.0715	100	96.21986	100	93.88004	97.94305	100	99.99267
9/27/2024 9:17:00 AM	160	98.40933	96.0839	97.65348	98.89346	100	100	99.98393	100	100	99.39685	99.76951	97.79439	97.19724	100	100	100	100	100	99.93774	99.48202	95.93433	99.99088	99.4238	100	97.64388	100	95.63691	98.51715	100	99.99877
